camX,camY,camZ,camTheta,camRX,camRY,camRZ,obj_gazeX,obj_gazeY,obj_gazeZ
35.603,33.174,-78.634,0.188,-0.595,-0.705,0.364,20.530,32.900,0.000
35.202,33.183,-78.784,0.182,-0.588,-0.725,0.335,21.030,32.510,0.000
34.740,33.106,-78.944,0.178,-0.584,-0.741,0.303,19.640,31.570,0.000
34.219,32.952,-79.107,0.174,-0.586,-0.753,0.268,18.590,31.010,0.000
33.649,32.744,-79.268,0.171,-0.592,-0.760,0.232,17.420,30.240,0.000
33.049,32.519,-79.422,0.168,-0.602,-0.763,0.196,16.590,29.400,0.000
32.439,32.305,-79.567,0.165,-0.612,-0.764,0.162,15.650,28.790,0.000
31.837,32.122,-79.698,0.163,-0.623,-0.763,0.131,14.540,27.740,0.000
31.257,31.978,-79.814,0.162,-0.633,-0.760,0.103,13.760,26.740,0.000
30.704,31.880,-79.915,0.162,-0.643,-0.756,0.080,12.260,26.460,0.000
30.181,31.832,-80.003,0.163,-0.651,-0.752,0.061,6.490,27.740,0.000
29.690,31.835,-80.080,0.165,-0.659,-0.748,0.047,4.600,27.300,0.000
29.237,31.879,-80.146,0.168,-0.664,-0.745,0.037,2.000,29.020,0.000
28.832,31.941,-80.199,0.171,-0.668,-0.743,0.029,1.500,30.240,0.000
28.481,31.995,-80.238,0.175,-0.670,-0.742,0.025,1.330,31.240,0.000
28.184,32.017,-80.265,0.180,-0.670,-0.743,0.021,2.160,32.290,0.000
27.932,31.999,-80.286,0.185,-0.670,-0.744,0.020,3.000,32.840,0.000
27.712,31.944,-80.308,0.190,-0.668,-0.745,0.019,2.940,33.400,0.000
27.507,31.866,-80.338,0.195,-0.668,-0.745,0.020,3.440,33.620,0.000
27.305,31.777,-80.379,0.199,-0.669,-0.743,0.021,3.500,34.060,0.000
27.101,31.681,-80.429,0.203,-0.673,-0.738,0.023,3.660,34.560,0.000
26.897,31.572,-80.482,0.205,-0.681,-0.728,0.027,3.830,35.560,0.000
26.700,31.437,-80.528,0.207,-0.694,-0.713,0.032,3.940,36.560,0.000
26.518,31.268,-80.563,0.208,-0.711,-0.692,0.039,-0.610,35.230,0.000
26.362,31.067,-80.586,0.208,-0.732,-0.665,0.050,-6.270,37.840,0.000
26.246,30.854,-80.600,0.209,-0.756,-0.633,0.064,-5.830,38.280,0.000
26.187,30.659,-80.611,0.209,-0.781,-0.597,0.082,-4.440,37.010,0.000
26.200,30.506,-80.624,0.211,-0.805,-0.561,0.102,-2.390,36.340,0.000
26.291,30.409,-80.641,0.212,-0.827,-0.526,0.122,0.670,36.060,0.000
26.448,30.356,-80.658,0.215,-0.846,-0.493,0.140,3.500,36.280,0.000
26.641,30.322,-80.671,0.219,-0.862,-0.463,0.153,4.720,36.450,0.000
26.827,30.278,-80.676,0.224,-0.877,-0.433,0.159,5.100,36.560,0.000
26.974,30.208,-80.669,0.229,-0.892,-0.400,0.158,5.330,37.120,0.000
27.066,30.117,-80.649,0.234,-0.907,-0.364,0.153,5.880,37.780,0.000
27.116,30.024,-80.621,0.238,-0.923,-0.324,0.144,7.270,38.610,0.000
27.156,29.953,-80.589,0.242,-0.938,-0.281,0.135,10.150,39.340,0.000
